gbif_name,gbif_key,fieldguide_id,cover_image_url,antenna_id,inat_id,category_map_index,common_name_en,,genus,family,training_images_count,example_occurrence_image_url
,1730769,,,,,#N/A,,,,,7,https://inaturalist-open-data.s3.amazonaws.com/photos/180526040/original.jpg
,1732371,,,,,#N/A,,,,,11,https://inaturalist-open-data.s3.amazonaws.com/photos/6414599/original.jpeg
Artace cribrarius,1732901,,,,,2,,,Artace,Lasiocampidae,1000,https://inaturalist-open-data.s3.amazonaws.com/photos/70157693/original.jpeg
,1733029,,,,,#N/A,,,,,6,https://inaturalist-open-data.s3.amazonaws.com/photos/364094035/original.jpg
,1733031,,,,,#N/A,,,,,5,https://inaturalist-open-data.s3.amazonaws.com/photos/108947602/original.jpeg
,1733038,,,,,#N/A,,,,,7,http://www.boldsystems.org/pics/MHAOA/07-SRNP-45268-DHJ381019+1222372210.jpg
,1733051,,,,,#N/A,,,,,10,https://inaturalist-open-data.s3.amazonaws.com/photos/103863655/original.jpeg
,1733068,,,,,#N/A,,,,,11,https://inaturalist-open-data.s3.amazonaws.com/photos/103862637/original.jpeg
,1733328,,,,,#N/A,,,,,13,https://inaturalist-open-data.s3.amazonaws.com/photos/99104377/original.jpeg
,1733824,,,,,#N/A,,,,,7,https://inaturalist-open-data.s3.amazonaws.com/photos/103863998/original.jpeg
,1741826,,,,,#N/A,,,,,684,https://inaturalist-open-data.s3.amazonaws.com/photos/32341384/original.jpg
,1743215,,,,,#N/A,,,,,7,https://inaturalist-open-data.s3.amazonaws.com/photos/13732593/original.jpg
,1743288,,,,,#N/A,,,,,6,https://inaturalist-open-data.s3.amazonaws.com/photos/294676870/original.jpg
,1743297,,,,,#N/A,,,,,20,https://inaturalist-open-data.s3.amazonaws.com/photos/385347797/original.jpeg
Mictopsichia hubneriana,1743793,,,,,14,,,Mictopsichia,Tortricidae,21,https://inaturalist-open-data.s3.amazonaws.com/photos/165986886/original.jpg
Hilarographa plectanodes,1748056,,,,,15,,,Hilarographa,Tortricidae,6,https://inaturalist-open-data.s3.amazonaws.com/photos/43703336/original.jpg
,1748062,,,,,#N/A,,,,,8,https://inaturalist-open-data.s3.amazonaws.com/photos/66919660/original.jpeg
Trosia dimas,1751492,,,,,17,,,Trosia,Megalopygidae,19,https://inaturalist-open-data.s3.amazonaws.com/photos/161088038/original.jpg
,1751496,,,,,#N/A,,,,,13,https://inaturalist-open-data.s3.amazonaws.com/photos/185674982/original.jpeg
,1751497,,,,,#N/A,,,,,83,https://inaturalist-open-data.s3.amazonaws.com/photos/356595188/original.jpg
Trosia fallax,1751512,,,,,20,,,Trosia,Megalopygidae,9,https://inaturalist-open-data.s3.amazonaws.com/photos/118581180/original.jpeg
,1751524,,,,,#N/A,,,,,61,https://inaturalist-open-data.s3.amazonaws.com/photos/29584191/original.jpg
,1751568,,,,,#N/A,,,,,17,https://inaturalist-open-data.s3.amazonaws.com/photos/363903595/original.jpeg
