gbif_key,fieldguide_id,cover_image_url,antenna_id,inat_id,category_map_index,common_name_en,Unnamed: 8,training_images_count,example_occurrence_image_url,speciesKey,gbif_name,genus,family
1730769,,,,,0,,,7,https://inaturalist-open-data.s3.amazonaws.com/photos/180526040/original.jpg,1730769,Givira minuta,Givira,Cossidae
1732371,,,,,1,,,11,https://inaturalist-open-data.s3.amazonaws.com/photos/6414599/original.jpeg,1732371,Prorifrons tremula,Prorifrons,Lasiocampidae
1732901,,,,,2,,,1000,https://inaturalist-open-data.s3.amazonaws.com/photos/70157693/original.jpeg,1732901,Artace cribrarius,Artace,Lasiocampidae
1733029,,,,,3,,,6,https://inaturalist-open-data.s3.amazonaws.com/photos/364094035/original.jpg,1733029,Nesara dalceroides,Nesara,Lasiocampidae
1733031,,,,,4,,,5,https://inaturalist-open-data.s3.amazonaws.com/photos/108947602/original.jpeg,1733031,Nesara francesca,Nesara,Lasiocampidae
1733038,,,,,5,,,7,http://www.boldsystems.org/pics/MHAOA/07-SRNP-45268-DHJ381019+1222372210.jpg,1733038,Nesara casada,Nesara,Lasiocampidae
1733051,,,,,6,,,10,https://inaturalist-open-data.s3.amazonaws.com/photos/103863655/original.jpeg,1733051,Nesara caramina,Nesara,Lasiocampidae
1733068,,,,,7,,,11,https://inaturalist-open-data.s3.amazonaws.com/photos/103862637/original.jpeg,1733068,Tytocha lineata,Tytocha,Lasiocampidae
1733328,,,,,8,,,13,https://inaturalist-open-data.s3.amazonaws.com/photos/99104377/original.jpeg,1733328,Labedera primitiva,Labedera,Lasiocampidae
1733824,,,,,9,,,7,https://inaturalist-open-data.s3.amazonaws.com/photos/103863998/original.jpeg,1733824,Eutachyptera psidii,Eutachyptera,Lasiocampidae
1741826,,,,,10,,,684,https://inaturalist-open-data.s3.amazonaws.com/photos/32341384/original.jpg,1741826,Platynota rostrana,Platynota,Tortricidae
1743215,,,,,11,,,7,https://inaturalist-open-data.s3.amazonaws.com/photos/13732593/original.jpg,1743215,Orthocomotis herbacea,Orthocomotis,Tortricidae
1743288,,,,,12,,,6,https://inaturalist-open-data.s3.amazonaws.com/photos/294676870/original.jpg,1743288,Pseudatteria leopardina,Pseudatteria,Tortricidae
1743297,,,,,13,,,20,https://inaturalist-open-data.s3.amazonaws.com/photos/385347797/original.jpeg,1743297,Pseudatteria volcanica,Pseudatteria,Tortricidae
1743793,,,,,14,,,21,https://inaturalist-open-data.s3.amazonaws.com/photos/165986886/original.jpg,1743793,Mictopsichia hubneriana,Mictopsichia,Tortricidae
1748056,,,,,15,,,6,https://inaturalist-open-data.s3.amazonaws.com/photos/43703336/original.jpg,1748056,Hilarographa plectanodes,Hilarographa,Tortricidae
1748062,,,,,16,,,8,https://inaturalist-open-data.s3.amazonaws.com/photos/66919660/original.jpeg,1748062,Hilarographa swederiana,Hilarographa,Tortricidae
1751492,,,,,17,,,19,https://inaturalist-open-data.s3.amazonaws.com/photos/161088038/original.jpg,1751492,Trosia dimas,Trosia,Megalopygidae
1751496,,,,,18,,,13,https://inaturalist-open-data.s3.amazonaws.com/photos/185674982/original.jpeg,1751496,Trosia incostata,Trosia,Megalopygidae
1751497,,,,,19,,,83,https://inaturalist-open-data.s3.amazonaws.com/photos/356595188/original.jpg,1751497,Trosia semirufa,Trosia,Megalopygidae
1751512,,,,,20,,,9,https://inaturalist-open-data.s3.amazonaws.com/photos/118581180/original.jpeg,1751512,Trosia fallax,Trosia,Megalopygidae
1751524,,,,,21,,,61,https://inaturalist-open-data.s3.amazonaws.com/photos/29584191/original.jpg,1751524,Thoscora ribbei,Thoscora,Megalopygidae
1751568,,,,,22,,,17,https://inaturalist-open-data.s3.amazonaws.com/photos/363903595/original.jpeg,1751568,Megalopyge megalopygae,Megalopyge,Megalopygidae
1751572,,,,,23,,,1000,https://inaturalist-open-data.s3.amazonaws.com/photos/299863909/original.jpeg,1751572,Megalopyge opercularis,Megalopyge,Megalopygidae
1751581,,,,,24,,,39,https://inaturalist-open-data.s3.amazonaws.com/photos/277982178/original.jpeg,1751581,Megalopyge perseae,Megalopyge,Megalopygidae
1751588,,,,,25,,,359,https://inaturalist-open-data.s3.amazonaws.com/photos/184373043/original.jpg,1751588,Megalopyge lanata,Megalopyge,Megalopygidae
1751590,,,,,26,,,39,https://inaturalist-open-data.s3.amazonaws.com/photos/325271403/original.jpg,1751590,Megalopyge tharops,Megalopyge,Megalopygidae
1751600,,,,,27,,,26,https://inaturalist-open-data.s3.amazonaws.com/photos/170176089/original.png,1751600,Megalopyge lampra,Megalopyge,Megalopygidae
1751607,,,,,28,,,14,https://inaturalist-open-data.s3.amazonaws.com/photos/161189787/original.jpeg,1751607,Megalopyge hina,Megalopyge,Megalopygidae
1751613,,,,,29,,,56,https://inaturalist-open-data.s3.amazonaws.com/photos/146435795/original.jpeg,1751613,Megalopyge salebrosa,Megalopyge,Megalopygidae
1751624,,,,,30,,,28,https://inaturalist-open-data.s3.amazonaws.com/photos/378237866/original.jpeg,1751624,Megalopyge xanthopasa,Megalopyge,Megalopygidae
1751625,,,,,31,,,368,https://inaturalist-open-data.s3.amazonaws.com/photos/311711274/original.jpg,1751625,Megalopyge albicollis,Megalopyge,Megalopygidae
1751626,,,,,32,,,12,https://inaturalist-open-data.s3.amazonaws.com/photos/348771836/original.jpg,1751626,Megalopyge defoliata,Megalopyge,Megalopygidae
1751670,,,,,33,,,173,https://inaturalist-open-data.s3.amazonaws.com/photos/129557790/original.jpeg,1751670,Norape virgo,Norape,Megalopygidae
1751735,,,,,34,,,9,https://inaturalist-open-data.s3.amazonaws.com/photos/235219651/original.jpg,1751735,Mesoscia eriophora,Mesoscia,Megalopygidae
1751739,,,,,35,,,9,https://inaturalist-open-data.s3.amazonaws.com/photos/150637637/original.jpeg,1751739,Mesoscia dumilla,Mesoscia,Megalopygidae
1751747,,,,,36,,,17,https://inaturalist-open-data.s3.amazonaws.com/photos/64295332/original.jpeg,1751747,Mesoscia dyari,Mesoscia,Megalopygidae
1751748,,,,,37,,,19,https://inaturalist-open-data.s3.amazonaws.com/photos/243777687/original.jpg,1751748,Mesoscia guttifascia,Mesoscia,Megalopygidae
1751750,,,,,38,,,35,https://inaturalist-open-data.s3.amazonaws.com/photos/177238778/original.jpg,1751750,Mesoscia terminata,Mesoscia,Megalopygidae
1751758,,,,,39,,,24,https://inaturalist-open-data.s3.amazonaws.com/photos/118910072/original.jpg,1751758,Aithorape roseicornis,Aithorape,Megalopygidae
1751779,,,,,40,,,6,https://inaturalist-open-data.s3.amazonaws.com/photos/100071031/original.jpg,1751779,Macara argentea,Macara,Megalopygidae
1751785,,,,,41,,,39,https://inaturalist-open-data.s3.amazonaws.com/photos/136864868/original.jpeg,1751785,Macara alydda,Macara,Megalopygidae
1751929,,,,,42,,,43,https://inaturalist-open-data.s3.amazonaws.com/photos/98985886/original.jpeg,1751929,Aidos yamouna,Aidos,Aididae
1751930,,,,,43,,,8,https://inaturalist-open-data.s3.amazonaws.com/photos/91050455/original.jpeg,1751930,Aidos perfusa,Aidos,Aididae
1751980,,,,,44,,,100,https://inaturalist-open-data.s3.amazonaws.com/photos/247956350/original.jpg,1751980,Perola villosipes,Perola,Limacodidae
1751986,,,,,45,,,69,https://inaturalist-open-data.s3.amazonaws.com/photos/258812597/original.jpg,1751986,Perola sericea,Perola,Limacodidae
1751990,,,,,46,,,14,https://inaturalist-open-data.s3.amazonaws.com/photos/282320292/original.jpeg,1751990,Perola nitidissima,Perola,Limacodidae
1751991,,,,,47,,,10,https://inaturalist-open-data.s3.amazonaws.com/photos/26031237/original.jpg,1751991,Perola sinaloensis,Perola,Limacodidae
1752001,,,,,48,,,26,https://inaturalist-open-data.s3.amazonaws.com/photos/310440920/original.jpeg,1752001,Perola clara,Perola,Limacodidae
1752033,,,,,49,,,11,https://inaturalist-open-data.s3.amazonaws.com/photos/100521915/original.jpg,1752033,Perola laopepe,Perola,Limacodidae
